idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
1358,42,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,10.32206,60,12.141026,2.0833333
1361,41,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,17.02898,40,17.884615,2.1666667
1362,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,3.220612,16,5.2628202,1
1364,39,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Managers/Admin,Nonunion,13.937197,50,17.153847,3
1366,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,,3.3444817,33,14.339743,1.3333334
1367,43,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.0257649,40,13.666667,13.666667
1370,34,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,8.9049911,40,11.288462,11.25
1371,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,8.8566837,35,10.5,10.5
1373,43,Black,Married,Has been married,11,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,12.753378,40,14.141026,6.8333335
1376,39,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,,5.434783,40,13.217948,.33333334
1379,43,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Public administration,Sales,Nonunion,10.12882,40,16.442307,10.916667
1380,37,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,8.0112686,40,15.346154,9.75
1381,44,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,11.272142,40,21,20.916666
1384,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.220612,20,5.1730771,2.3333333
1385,38,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,6.1996756,60,12.955129,.66666669
1386,35,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,,3.7625415,32,4.4423075,.16666667
1389,37,White,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,,3.0518394,40,5.8076925,.58333331
1394,42,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Union,9.5008011,44,15.903846,15.083333
1396,41,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,16.256029,40,18.833334,18.833334
1398,36,Black,Single,Has been married,17,College grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,11.457324,50,15.615385,12.833333
1408,37,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Other,Union,14.573262,34,12.935898,5.8333335
1411,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,3.220612,30,16.089743,1.8333334
1415,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Personal services,Laborers,,9.6779356,8,11.692307,3.9166667
1418,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,5.9259238,40,8.8141031,3.75
1420,40,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Union,8.8164225,40,17.403847,15.083333
1426,37,White,Single,Never married,12,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,4.8309178,40,5.1858978,3
1427,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,4.5813198,40,10.621796,3
1428,42,White,Single,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,19.434166,40,15.634616,7.25
1434,42,White,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,3.0017905,24,2.4294872,.25
1435,44,White,Married,Has been married,15,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,8.9049911,40,13.698718,2.25
1436,43,White,Single,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,4.2592573,40,7.7051277,.91666669
1437,44,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,13.003217,50,8.7115383,4.8333335
1441,39,White,Single,Has been married,13,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,5.6360707,42,15.923077,2.5
1448,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Union,3.6634455,40,7.5384617,2.8333333
1453,39,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,,38.709259,40,10.089744,2.75
1462,42,Black,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.6714935,50,15.557693,4.3333335
1465,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,,6.3365531,40,15.012821,1.25
1469,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Sales,,4.1806021,15,16.846153,.66666669
1470,36,White,Single,Never married,18,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,8.0515299,50,11.442307,1.5
1471,35,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.723026,25,15.064102,12.75
1475,36,Black,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.7455678,40,13.820513,0
1478,38,White,Married,Has been married,8,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,,3.3444817,40,5.6538463,1.1666666
1479,43,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Other,Nonunion,6.634459,35,14.852565,13.666667
1480,41,White,Single,Never married,16,College grad,Not south,SMSA,Central city,Transport/Comm/Utility,Managers/Admin,Nonunion,20.644119,45,19.051281,9
1482,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.1046667,23,9.9423065,4
1484,36,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,16.256029,40,13.903846,7.0833335
1486,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.782608,32,13.538462,6.4166665
1490,39,White,Single,Has been married,18,College grad,Not south,Not SMSA,Not central city,Public administration,Managers/Admin,Union,13.164245,40,16.01923,1.9166666
1492,39,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Union,12.007685,40,14.403846,.33333334
1494,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,8.0515299,40,16.134615,16
1499,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,,4.9114323,40,13.519231,3.8333333
1500,35,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Service,,2.801002,40,11.929487,1.9166666
1505,43,White,Single,Has been married,16,College grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,8.5185146,40,18.038462,9.5
1506,38,White,Married,Has been married,13,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.2818017,40,6.6282048,1.25
1507,40,White,Single,Never married,18,College grad,South,Not SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,10.217388,40,14.288462,11.083333
1508,35,White,Married,Has been married,17,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.942026,40,14.564102,13
1515,44,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Sales,Union,6.2318821,25,4.4038463,2.1666667
1519,44,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Public administration,Sales,,4.5986619,40,8.5769234,.91666669
1520,41,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Managers/Admin,Nonunion,11.884054,43,18.423077,7.1666665
1522,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Sales,,5.434783,15,5.2307692,.25
1523,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,6.4412241,40,15.878206,12.833333
1525,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,,4.4137006,35,7.7692308,.75
1526,42,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Transport,Nonunion,3.3011258,30,2.1217949,.75
1529,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,5.9983873,40,17.134615,5
1530,38,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,11.195651,28,6.6346154,4
1531,36,White,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Clerical/Unskilled,Nonunion,2.3027365,35,4.0769229,1.4166666
1540,39,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,,9.1973238,16,14.057693,5.5833335
1542,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,4.3880816,40,14.916666,4.4166665
1543,43,White,Married,Has been married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Union,10.450882,40,7.0641022,3.8333333
1545,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,4.4202881,7,11.038462,1.3333334
1557,39,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,5.6119142,40,13.865385,.75
1558,36,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,4.8872786,40,13,5.8333335
1559,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Union,6.714973,40,17.487177,9.583333
1561,35,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Managers/Admin,Nonunion,7.801928,40,11.076923,10.583333
1562,42,White,Married,Has been married,14,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,6.2238321,55,16.442308,4.25
1563,39,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,6.7069201,60,13.435897,2.75
1564,41,White,Single,Has been married,16,College grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,6.1594191,40,12.576923,6.9166665
1565,39,White,Single,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,12.38325,45,15.192307,1.4166666
1566,39,Black,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,4.0257649,40,11.128204,3.75
1572,40,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,,4.8274837,40,16.48077,9.166667
1577,41,Black,Married,Has been married,15,Not college grad,Not south,SMSA,Central city,Personal services,Sales,Nonunion,3.2850225,24,6.2307696,
1578,37,Black,Single,Has been married,14,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,,38.709259,40,12.538461,1.5833334
1580,38,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,,5.8528428,50,4.4615383,1.25
1582,40,Black,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,15.09662,40,14.166666,8.75
1583,39,Black,Married,Has been married,17,College grad,Not south,SMSA,Central city,Professional services,Other,Nonunion,6.634459,35,16.173077,9.75
1585,36,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,,4.703177,40,7.5833335,.66666669
1588,43,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,4.0257649,24,10.083334,.16666667
1591,36,White,Single,Has been married,14,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.2640896,42,8.9423075,1.5833334
1595,41,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,7.5362258,38,14.980769,7.4166665
1596,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,5.4106259,32,20.596153,20.583334
1598,44,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.3977435,36,7.5641026,2.0833333
1599,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,12.38325,50,18.429485,11.166667
1600,42,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Operatives,Nonunion,3.6231885,53,15.198717,3.4166667
1603,45,White,Married,Has been married,7,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,Nonunion,3.7117529,38,3.9102564,1.75
1604,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,3.7037024,40,7.0384617,3.5833333
1607,39,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Construction,Sales,Nonunion,8.0515299,38,16.346153,1.3333334
1613,38,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.6698866,20,8.7820511,2.8333333
1614,42,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Entertainment/Rec svc,Sales,Nonunion,3.3444817,40,3.3910255,1
1616,40,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Other,Nonunion,7.0048285,22,10.423077,6.4166665
1618,34,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.7504005,40,10.134616,9.583333
1620,45,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,,2.4916961,5,9.2884617,
1622,37,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Union,3.3091762,20,14.038462,1.5833334
1623,41,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.5491123,40,9.6153851,6
1624,39,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,10.732684,15,10.576923,2.4166667
1625,37,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,,Professional/Technical,Nonunion,6.0869551,40,8.5705128,.83333331
1626,35,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.9855046,45,15.923077,10.25
1628,35,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Union,6.6889634,10,7.9807692,2
1630,39,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Laborers,,3.3444817,3,12.134615,5
1631,39,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.2270532,32,10.615384,3.6666667
1635,44,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.220612,24,8.0705128,2.6666667
1636,40,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.2270532,8,9.7628202,.58333331
1638,41,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.8727839,26,7.6474361,4.3333335
1641,36,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Personal services,Laborers,,3.0518394,15,10.980769,.91666669
1644,36,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Public administration,Professional/Technical,Nonunion,9.3719788,38,18.26923,14.833333
1645,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,3.7198057,40,10.692307,4.6666665
1646,37,White,Single,Never married,12,Not college grad,Not south,Not SMSA,Not central city,Personal services,Transport,Nonunion,2.6570041,35,11.288462,3.4166667
1647,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.9855046,20,6.9230771,3.75
1648,35,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Union,8.9049911,40,14.826922,8.833333
1649,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Business/Repair svc,Professional/Technical,,13.377926,36,16.038462,2.6666667
1650,40,White,Single,Has been married,11,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Farm laborers,Nonunion,2.8582926,40,2.6730769,.16666667
1651,41,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,,5.3511686,20,12.660256,.33333334
1653,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,9.7342978,50,16.070513,10.5
1654,38,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Business/Repair svc,Other,Nonunion,10.217388,50,16.833334,3
1655,40,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,13.969397,45,19.551283,19.5
1656,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Union,6.779387,40,19.666666,19.666666
1659,41,White,Single,Never married,17,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,12.971002,40,16.320513,4.5
1664,38,White,Married,Has been married,17,College grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,20.644119,60,13.467948,8.333333
1669,35,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.104667,36,16.064102,13.416667
1671,35,White,Single,Never married,9,Not college grad,Not south,Not SMSA,Not central city,Personal services,Laborers,Nonunion,3.3444817,32,1.3269231,.083333336
1674,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Public administration,Managers/Admin,Nonunion,6.5780983,40,15.173077,3.75
1675,42,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.8309178,40,10.826923,9.833333
1683,35,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,18.196449,2,11.807693,3.3333333
1686,35,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,6.4412241,2,8.6923075,6.0833335
1688,36,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,,5.0167227,32,9.1923075,3.5
1689,39,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,,2.801002,40,13.75,.41666666
1690,37,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,,3.3444817,30,12.115385,2.8333333
1691,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.9178729,38,18.73077,11.75
1693,40,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Other,Nonunion,5.072463,30,8.7564106,1.75
1697,37,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,,3.0991251,60,14.448719,1.75
1701,36,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Construction,Sales,Nonunion,5.2334948,40,10.153846,.75
1702,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,,2.801002,30,6.5769234,.16666667
1703,45,White,Single,Has been married,13,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,4.8792253,40,12.961538,1.75
1707,38,White,Married,Has been married,9,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,7.1497569,39,11.461538,4.4166665
1710,40,White,Single,Has been married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.5990286,45,14.833333,14.833333
1712,40,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.6634455,40,8.8269234,2.4166667
1713,38,White,Married,Has been married,8,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Laborers,,6.0386477,40,6.3461537,1.5833334
1714,35,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,,5.7483277,40,13.173077,6.9166665
1716,35,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,,6.6889634,40,14.97436,7.8333335
1719,39,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.924314,50,18.25,15.833333
1721,40,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.5088553,42,17.358974,5
1724,40,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,12.222217,38,17.673077,9.25
1725,42,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,15.48309,40,19.442307,6.3333335
1729,38,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,3.8244765,40,11.884616,4.0833335
1732,34,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,,2.8180354,32,6.5320511,.33333334
1737,41,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,4.7504005,37,15.557693,10.416667
1738,40,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,Nonunion,3.5829282,20,14.910255,1.75
1740,44,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Public administration,Laborers,Nonunion,3.6231885,15,13.461538,5.8333335
1742,39,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Sales,,8.3612032,20,15.378205,.91666669
1743,41,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,8.4460526,55,16.826923,3.75
1746,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,17.665049,40,18.23077,5.25
1748,43,White,Single,Never married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Union,8.3574867,50,20.333334,20.333334
1749,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,5.2495947,23,4.4807692,2.75
1750,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6.8840547,45,4.9358974,1.5
1752,34,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,,4.8309178,20,7.1217947,.75
1754,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Public administration,Professional/Technical,Nonunion,10.483089,35,12.942307,5.0833335
1755,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.6360707,40,11.192307,8.833333
1758,40,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Managers/Admin,Nonunion,7.3510447,40,12.538462,5.8333335
1759,40,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,5.2737517,50,8.2756405,4.25
1760,36,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.9882946,40,11.769231,.5
1761,36,White,Single,Never married,17,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Union,4.9033785,55,13.916667,13.916667
1762,38,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Craftsmen,Nonunion,3.7922699,35,7.8846149,2.6666667
1763,39,White,Single,Never married,18,College grad,Not south,SMSA,Not central city,Business/Repair svc,Clerical/Unskilled,Nonunion,4.0257649,20,16.634615,0
1764,38,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Union,11.151368,40,13.038462,4.1666665
1765,43,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.6698866,32,12.211538,8.75
1767,36,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,,,Nonunion,3.0193238,16,6.1602569,3.25
1769,38,White,Single,Never married,14,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,12.38325,40,20.833334,20.833334
1770,37,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Union,5.8615127,40,17.903847,17.75
1776,38,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Public administration,Operatives,,40.198082,40,15.711538,7.1666665
1777,40,White,Married,Has been married,11,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,Union,13.550715,40,16.583334,16.583334
1778,44,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Craftsmen,Union,10.628017,48,19.833334,19.833334
1779,38,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.6763277,30,14.75,14.75
1780,43,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,,Operatives,Union,11.851846,48,20.391026,16.5
1784,35,Black,Single,Has been married,14,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,9.6779356,40,14.519232,4.4166665
1785,39,Black,Single,Never married,11,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.2270532,40,15.647435,7.6666665
1786,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,4.790658,40,7.7179484,1.9166666
1787,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,4.7262473,35,7.8269229,1.5
1788,37,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,2.777777,20,5.3525643,.75
1790,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,,3.5842295,15,8.0897436,.58333331
1791,34,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,,2.090301,40,13.551281,7.1666665
1792,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.260869,26,6.0576925,1.8333334
1796,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,3.0193238,40,8.6923075,1.3333334
1801,39,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,Nonunion,7.21417,24,17.02564,0
